Start Date,End Date,Name,official_identifier,geography_curie,seats_total,Boundary Commission Consultation URL,Legislation URL,Short Title,Notes,Mapit Generation URI,Organisation ID,Organisation ID type,Territory Code
,,Abbeygate,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Bardwell,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Barningham,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Barrow,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Brandon Central,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Brandon East,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Brandon West,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Chedburgh & Chevington,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,"Clare, Hundon & Kedington",,,3,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Eastgate,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Exning,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill Central,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill East,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill North,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill South,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill South East,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Haverhill West,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Horringer,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Iceni,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Ixworth,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Kentford & Moulton,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Lakenheath,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Manor,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Mildenhall Great Heath,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Mildenhall Kingsway & Market,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Mildenhall Queensway,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Minden,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Moreton Hall,,,3,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Newmarket East,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Newmarket North,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Newmarket West,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Pakenham & Troston,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Risby,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Rougham,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Southgate,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,St Olaves,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Stanton,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,The Fornhams & Great Barton,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,The Rows,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Tollgate,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Westgate,,,2,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Whepstead & Wickhambrook,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
,,Withersfield,,,1,http://www.lgbce.org.uk/all-reviews/west-suffolk,https://www.legislation.gov.uk/uksi/2018/1375/made,The West Suffolk (Electoral Changes) Order 2018,,,WSK,local-authority-eng,ENG
