election_id,cancellation_reason
local.gwynedd.llangelynin.2017-05-04,EQUAL_CANDIDATES
local.pembrokeshire.wiston.2022-05-05,EQUAL_CANDIDATES
local.rutland.oakham-north-west.2019-05-02,EQUAL_CANDIDATES
local.isles-of-scilly.bryher.2017-05-04,EQUAL_CANDIDATES
local.na-h-eileanan-an-iar.barraigh-agus-bhatarsaigh.2022-05-05,UNDER_CONTESTED
local.pembrokeshire.narberth-rural.2017-05-04,EQUAL_CANDIDATES
local.halton.broadheath.2016-05-05,EQUAL_CANDIDATES
local.shropshire.albrighton.2021-05-06,EQUAL_CANDIDATES
local.sevenoaks.cowden-and-hever.2019-05-02,EQUAL_CANDIDATES
local.gwynedd.harlech-a-llanbedr.2022-05-05,EQUAL_CANDIDATES
local.powys.bwlch.2017-05-04,EQUAL_CANDIDATES
local.allerdale.boltons.2019-05-02,EQUAL_CANDIDATES
local.na-h-eileanan-an-iar.sgir-uige-agus-carlabhagh.2022-05-05,UNDER_CONTESTED
local.powys.cwm-twrch.2017-05-04,EQUAL_CANDIDATES
local.epping-forest.hastingwood-matching-and-sheering-village.2019-05-02,EQUAL_CANDIDATES
local.north-kesteven.billinghay-rural.2023-05-04,EQUAL_CANDIDATES
local.ceredigion.tirymynach.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.llanrug.2022-05-05,EQUAL_CANDIDATES
local.rutland.oakham-south.by.2022-07-14,EQUAL_CANDIDATES
local.broxtowe.stapleford-south-east.2019-05-02,CANDIDATE_DEATH
local.gwynedd.dewi.2022-05-05,EQUAL_CANDIDATES
local.powys.llanwrtyd-wells.2017-05-04,EQUAL_CANDIDATES
local.flintshire.bagillt-west.2017-05-04,EQUAL_CANDIDATES
local.west-suffolk.ixworth.2019-05-02,EQUAL_CANDIDATES
local.ribble-valley.chipping.2019-05-02,EQUAL_CANDIDATES
local.waverley.shamley-green-and-cranleigh-north.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.langbourn.by.2017-09-12,EQUAL_CANDIDATES
local.west-lindsey.sudbrooke.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llanarth.2017-05-04,EQUAL_CANDIDATES
local.shetland-islands.shetland-north.2022-05-05,EQUAL_CANDIDATES
local.eden.long-marton.2019-05-02,EQUAL_CANDIDATES
local.north-devon.marwood.2023-05-04,EQUAL_CANDIDATES
local.conwy.eglwysbach.2017-05-04,EQUAL_CANDIDATES
local.rutland.normanton.2019-05-02,EQUAL_CANDIDATES
local.ribble-valley.clayton-le-dale-salesbury.2023-05-04,EQUAL_CANDIDATES
local.isles-of-scilly.st-martins.2021-05-06,EQUAL_CANDIDATES
local.ryedale.wolds.2019-05-02,EQUAL_CANDIDATES
local.south-holland.the-saints.2019-05-02,EQUAL_CANDIDATES
local.sefton.st-oswald.2022-05-05,EQUAL_CANDIDATES
local.new-forest.bramshaw-copythorne-north-and-minstead.2019-05-02,EQUAL_CANDIDATES
local.rutland.whissendine.2023-05-04,EQUAL_CANDIDATES
local.city-of-london.broad-street.by.2018-12-13,EQUAL_CANDIDATES
local.ribble-valley.bowland.2019-05-02,EQUAL_CANDIDATES
local.city-of-london.aldgate.2017-03-23,EQUAL_CANDIDATES
local.south-holland.holbeach-hurn.2019-05-02,EQUAL_CANDIDATES
local.huntingdonshire.holywell-cum-needingworth.2022-05-05,EQUAL_CANDIDATES
local.fenland.the-mills.2019-05-02,EQUAL_CANDIDATES
local.west-lindsey.stow.2019-05-02,EQUAL_CANDIDATES
local.east-lindsey.sibsey-stickney.2023-05-04,EQUAL_CANDIDATES
local.south-kesteven.lincrest.2023-05-04,EQUAL_CANDIDATES
local.gwynedd.porthmadog-west.2017-05-04,EQUAL_CANDIDATES
local.west-suffolk.stanton.2023-05-04,EQUAL_CANDIDATES
local.denbighshire.alyn-valley.2022-05-05,EQUAL_CANDIDATES
local.na-h-eileanan-an-iar.sgire-an-rubha.2022-05-05,EQUAL_CANDIDATES
local.east-lindsey.halton-holegate.2023-05-04,EQUAL_CANDIDATES
local.bolsover.langwith.2019-05-02,EQUAL_CANDIDATES
local.ashford.tenterden-st-michaels.2019-05-02,EQUAL_CANDIDATES
local.malvern-hills.woodbury.2019-05-02,EQUAL_CANDIDATES
local.blaby.stanton-and-flamville.2019-05-02,EQUAL_CANDIDATES
local.ceredigion.llandysilio-and-llangrannog.2022-05-05,EQUAL_CANDIDATES
local.rutland.lyddington.2023-05-04,EQUAL_CANDIDATES
local.tendring.st-osyth.2019-05-02,CANDIDATE_DEATH
local.norwich.sewell.2021-05-06,
local.isles-of-scilly.bryher.2021-05-06,UNDER_CONTESTED
local.powys.glantwymyn.2022-05-05,EQUAL_CANDIDATES
local.salford.walkden-south.2019-05-02,CANDIDATE_DEATH
local.pembrokeshire.milford-hubberston.2022-05-05,EQUAL_CANDIDATES
local.flintshire.broughton-north-east.2017-05-04,EQUAL_CANDIDATES
local.gwynedd.efailnewydd-a-buan.2022-05-05,EQUAL_CANDIDATES
local.vale-of-white-horse.kingston-bagpuize.2019-05-02,EQUAL_CANDIDATES
local.wiltshire.bulford-allington-and-figheldean.2017-05-04,EQUAL_CANDIDATES
local.city-of-london.bishopsgate.2022-03-24,EQUAL_CANDIDATES
local.east-lindsey.horncastle.2023-05-04,EQUAL_CANDIDATES
local.pembrokeshire.pembroke-dock-pennar.2022-05-05,EQUAL_CANDIDATES
local.pembrokeshire.east-williamston.2022-05-05,EQUAL_CANDIDATES
local.gwynedd.corris-a-mawddwy.2022-05-05,EQUAL_CANDIDATES
local.south-ribble.farington-west.2019-05-02,CANDIDATE_DEATH
local.wychavon.dodderhill.2019-05-02,EQUAL_CANDIDATES
local.pembrokeshire.cilgerran-and-eglwyswrw.2022-05-05,EQUAL_CANDIDATES
local.south-holland.gedney.2019-05-02,EQUAL_CANDIDATES
local.forest-of-dean.newent-taynton.2019-05-02,CANDIDATE_DEATH
local.norfolk.sewell.2021-05-06,
local.torridge.milton-tamarside.2019-05-02,EQUAL_CANDIDATES
local.powys.newtown-east.2017-05-04,EQUAL_CANDIDATES
